observableId	simulationConditionId	time	measurement	noiseParameters
obs_total_pS1	cond_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	10.0	0.27197336823359225	sigma_pSTAT1
obs_total_pS1	cond_il10_01	20.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	30.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	45.0	0.11202013922171741	sigma_pSTAT1
obs_total_pS1	cond_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_1	10.0	0.2055709010532647	sigma_pSTAT1
obs_total_pS1	cond_il10_1	20.0	0.22602786333255137	sigma_pSTAT1
obs_total_pS1	cond_il10_1	30.0	0.11279928962457433	sigma_pSTAT1
obs_total_pS1	cond_il10_1	45.0	0.3004147141974597	sigma_pSTAT1
obs_total_pS1	cond_il10_1	60.0	0.1595365533499502	sigma_pSTAT1
obs_total_pS1	cond_il10_1	90.0	0.13062260704984271	sigma_pSTAT1
obs_total_pS1	cond_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_10	10.0	0.3651947402670044	sigma_pSTAT1
obs_total_pS1	cond_il10_10	20.0	0.9381038827446273	sigma_pSTAT1
obs_total_pS1	cond_il10_10	30.0	0.6124201264492615	sigma_pSTAT1
obs_total_pS1	cond_il10_10	45.0	0.12436354752715306	sigma_pSTAT1
obs_total_pS1	cond_il10_10	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_10	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	10.0	0.02466756339836144	sigma_pSTAT1
obs_total_pS1	cond_il6_01	20.0	0.09730566651792823	sigma_pSTAT1
obs_total_pS1	cond_il6_01	30.0	0.007698810583795355	sigma_pSTAT1
obs_total_pS1	cond_il6_01	45.0	0.23545087207808346	sigma_pSTAT1
obs_total_pS1	cond_il6_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	90.0	0.01379273731846834	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	10.0	0.04308186408964056	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	20.0	0.09460671365497768	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	30.0	0.17438393577562047	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	45.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	10.0	0.10766743966345549	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	20.0	0.08433333847215713	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	30.0	0.42250514543841966	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	45.0	0.34719145743440727	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	10.0	0.4786325414850778	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	20.0	0.6126924377704546	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	30.0	0.6158963669493821	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	45.0	0.11795634252741222	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	60.0	0.12327488609431131	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1	10.0	0.07430376317453215	sigma_pSTAT1
obs_total_pS1	cond_il6_1	20.0	0.047889731833610685	sigma_pSTAT1
obs_total_pS1	cond_il6_1	30.0	0.1470179755637674	sigma_pSTAT1
obs_total_pS1	cond_il6_1	45.0	0.11909440895466523	sigma_pSTAT1
obs_total_pS1	cond_il6_1	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	10.0	0.1645436258125223	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	20.0	0.2525851886189965	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	30.0	0.864510389346248	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	45.0	0.1451007448324203	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	10.0	0.19433314149163627	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	20.0	0.2702268168836135	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	30.0	0.3039491869771495	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	45.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	60.0	0.008947808878072214	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	10.0	0.8760671405811334	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	20.0	0.6564233922945474	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	30.0	1.8748058813962907	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	45.0	0.11193153274046336	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	10.0	0.7481211332059993	sigma_pSTAT1
obs_total_pS1	cond_il6_10	20.0	1.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	30.0	0.8255530360182288	sigma_pSTAT1
obs_total_pS1	cond_il6_10	45.0	0.15359480345090426	sigma_pSTAT1
obs_total_pS1	cond_il6_10	60.0	0.3982052419421935	sigma_pSTAT1
obs_total_pS1	cond_il6_10	90.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	10.0	0.27625436521414637	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	20.0	0.8537163433514774	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	30.0	0.6538920605409414	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	45.0	0.30957430841313816	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	60.0	0.20436983422233368	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	90.0	0.4821949140463613	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	10.0	0.9540995629075923	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	20.0	1.0260839881846722	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	30.0	0.5758082453432563	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	45.0	0.2689295256938431	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	60.0	0.3839659135009187	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	90.0	0.08962049304710897	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	10.0	0.8118262878692791	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	20.0	1.3669998297237544	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	30.0	0.8538814622382574	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	45.0	0.22488807315197626	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	90.0	0.02462812559049858	sigma_pSTAT1
