observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_total_pS1	cond_il10_1	0	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	0	0.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_1	0	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	0	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	0	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	10	0.2055709010532647	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	10	0.02117204778701802	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	10	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	10	0.1412215850471746	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	20	0.22602786333255137	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	20	0.08092685773092875	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_1	20	0.06173744656185667	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	20	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	20	0.116095044265984	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	30	0.11279928962457433	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	30	0.10633899652227558	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	30	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	30	0.09943800109167351	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	45	0.3004147141974597	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	45	0.1854620429461287	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_1	45	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	45	0.21295109964008158	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	45	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	60	0.1595365533499502	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	60	0.10258311589896607	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_1	60	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	60	0.24958636010613208	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	60	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_1	90	0.13062260704984271	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_1	90	0.08331724924106412	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_1	90	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_1	90	0.20389428347366817	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_1	90	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	0	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	0	0.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_10	0	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	0	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	0	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	10	0.3651947402670044	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	10	0.06378609136301129	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	10	0.15594116915910208	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	10	0.1968022174120634	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	20	0.9381038827446273	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	20	0.4547631331260991	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_10	20	0.4447065820580456	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	20	0.07627735653884067	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	20	0.25630895374466744	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	30	0.6124201264492615	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	30	0.3351465786343095	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	30	0.482059077586299	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	30	0.20322196396843456	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	45	0.12436354752715306	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	45	0.31321440920734545	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_10	45	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	45	0.3060025438156613	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	45	0.12198523863756039	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	60	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	60	0.16743802669974991	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_10	60	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	60	0.29889807658124784	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	60	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il10_10	90	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il10_10	90	0.054371408990441586	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il10_10	90	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il10_10	90	0.14145682401608528	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il10_10	90	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	0	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	0	0.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_1	0	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	0	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	0	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	10	0.07430376317453215	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	10	0.15714995381878377	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	10	0.10140263333829787	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	10	0.054474829107280034	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	20	0.047889731833610685	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	20	0.3166266196167135	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_1	20	0.38606569812255515	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	20	0.00912353047146895	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	20	0.13709462183912763	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	30	0.1470179755637674	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	30	0.2446971866888667	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	30	0.19441962646816074	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	30	0.08080815198838591	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	45	0.11909440895466523	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	45	0.17871733109195795	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_1	45	0.04558742053171671	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	45	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	45	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	60	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	60	0.0558095217284511	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_1	60	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	60	0.04755249899832952	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	60	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_1	90	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_1	90	0.13999862714315664	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_1	90	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_1	90	0.07318012318054391	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_1	90	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	0	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	0	0.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10	0	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	0	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	0	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	10	0.7481211332059993	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	10	0.7031929463878157	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	10	0.5611085703355067	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	10	0.2442225012097293	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	20	1.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	20	1.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10	20	1.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	20	1.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	20	1.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	30	0.8255530360182288	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	30	0.7565445489355727	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	30	1.301246862948271	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	30	0.29276051508897505	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	45	0.15359480345090426	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	45	0.33750594004724205	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10	45	0.29293939804149133	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	45	0.31232877853343	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	45	0.16979076425167236	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	60	0.3982052419421935	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	60	0.12035073882932348	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10	60	0.03618450824616507	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	60	0.37660420259792793	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	60	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10	90	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10	90	0.12923767267603514	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10	90	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10	90	0.14312692214660716	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10	90	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10_il10_10	0	0.0	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10_il10_10	0	0.0	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10_il10_10	0	0.0	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10_il10_10	0	0.0	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10_il10_10	0	0.0	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10_il10_10	10	0.8118262878692791	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10_il10_10	10	1.1275926265975518	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10_il10_10	10	0.8178295258667584	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10_il10_10	10	0.5361438048678921	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10_il10_10	20	1.3669998297237544	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10_il10_10	20	1.6906632843099139	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10_il10_10	20	1.6245742663336185	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10_il10_10	20	1.707476724358198	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10_il10_10	20	1.166466817835009	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10_il10_10	30	0.8538814622382574	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10_il10_10	30	0.7447919658002374	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10_il10_10	30	1.201942290386441	sigma_pSTAT1	Exp4
obs_total_pS1	cond_il6_10_il10_10	30	0.561488527895947	sigma_pSTAT1	Exp5
obs_total_pS1	cond_il6_10_il10_10	45	0.22488807315197626	sigma_pSTAT1	Exp1
obs_total_pS1	cond_il6_10_il10_10	45	0.6684386593488574	sigma_pSTAT1	Exp2
obs_total_pS1	cond_il6_10_il10_10	45	0.3577098808453939	sigma_pSTAT1	Exp3
obs_total_pS1	cond_il6_10_il10_10	45	0.6315693673057544	sigma_pSTAT1	Exp4
