parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
il10_complex_jak1_binding	log10	1.0e-6	10000.0	1.0	1
SOCS3_il6r_unbinding	log10	1.0e-6	10000.0	1.0	1
il6_jak1_med_STAT1_act	log10	1.0e-6	10000.0	1.0	1
pSTAT1_rec_dissoc	log10	1.0e-6	10000.0	1.0	1
il6_complex_jak2_binding	log10	1.0e-6	10000.0	1.0	1
JAK2_0	log10	1.0e-6	10000.0	1.0	1
SOCS3_gp130_binding	log10	1.0e-6	10000.0	1.0	1
SOCS3_gp130_unbinding	log10	1.0e-6	10000.0	1.0	1
il6_complex_jak2_unbinding	log10	1.0e-6	10000.0	1.0	1
SOCS3_il6r_binding	log10	1.0e-6	10000.0	1.0	1
SOCS1_jak1_unbinding	log10	1.0e-6	10000.0	1.0	1
STAT3_SOCS1_ind	log10	1.0e-6	10000.0	1.0	1
il6_complex_jak1_unbinding	log10	1.0e-6	10000.0	1.0	1
il10_complex_jak1_unbinding	log10	1.0e-6	10000.0	1.0	1
il10_il10r1_unbinding	log10	1.0e-6	10000.0	1.0	1
STAT1_SOCS3_ind	log10	1.0e-6	10000.0	1.0	1
il6r_gp130_binding	log10	1.0e-6	10000.0	1.0	1
GP130_0	log10	1.0e-6	10000.0	1.0	1
il10_jak1_med_STAT3_act	log10	1.0e-6	10000.0	1.0	1
IL6R_0	log10	1.0e-6	10000.0	1.0	1
S3_0	log10	1.0e-6	10000.0	1.0	1
S1_0	log10	1.0e-6	10000.0	1.0	1
JAK1_0	log10	1.0e-6	10000.0	1.0	1
PTP3_0	log10	1.0e-6	10000.0	1.0	1
pSTAT3_rec_dissoc	log10	1.0e-6	10000.0	1.0	1
il6_complex_jak1_binding	log10	1.0e-6	10000.0	1.0	1
il10_jak1_med_STAT1_act	log10	1.0e-6	10000.0	1.0	1
il10r1_il10r2_unbinding	log10	1.0e-6	10000.0	1.0	1
il10r1_il10r2_binding	log10	1.0e-6	10000.0	1.0	1
PTP_med_STAT3_deact	log10	1.0e-6	10000.0	1.0	1
il6r_gp130_unbinding	log10	1.0e-6	10000.0	1.0	1
il10_il10r1_binding	log10	1.0e-6	10000.0	1.0	1
IL10R2_0	log10	1.0e-6	10000.0	1.0	1
PTP1_0	log10	1.0e-6	10000.0	1.0	1
il6_jak1_med_STAT3_act	log10	1.0e-6	10000.0	1.0	1
SOCS3_degrad	log10	1.0e-6	10000.0	1.0	1
SOCS1_degrad	log10	1.0e-6	10000.0	1.0	1
IL10R1_0	log10	1.0e-6	10000.0	1.0	1
il6_jak2_med_STAT3_act	log10	1.0e-6	10000.0	1.0	1
STAT1_SOCS1_ind	log10	1.0e-6	10000.0	1.0	1
PTP_med_STAT1_deact	log10	1.0e-6	10000.0	1.0	1
il6_il6r_binding	log10	1.0e-6	10000.0	1.0	1
STAT3_SOCS3_ind	log10	1.0e-6	10000.0	1.0	1
il6_il6r_unbinding	log10	1.0e-6	10000.0	1.0	1
il6_jak2_med_STAT1_act	log10	1.0e-6	10000.0	1.0	1
SOCS1_jak1_binding	log10	1.0e-6	10000.0	1.0	1
sf_pSTAT1	log10	1.0e-7	1000.0	1.0	1
sigma_pSTAT1	log10	0.01	1.0	0.15	0
