condition,observable,time,value
cond_il6_1,pSTAT1,0.0,0.0
cond_il6_1,pSTAT1,1.0,9.877667302527257e-05
cond_il6_1,pSTAT1,2.0,0.0011352993508378698
cond_il6_1,pSTAT1,3.0,0.0042264356932458225
cond_il6_1,pSTAT1,4.0,0.010011530832145264
cond_il6_1,pSTAT1,5.0,0.01861407120040362
cond_il6_1,pSTAT1,6.0,0.029792340257649506
cond_il6_1,pSTAT1,7.0,0.043094880384301586
cond_il6_1,pSTAT1,8.0,0.05798193048901292
cond_il6_1,pSTAT1,9.0,0.07390312240755859
cond_il6_1,pSTAT1,10.0,0.0903386071773343
cond_il6_1,pSTAT1,11.0,0.10681825258126675
cond_il6_1,pSTAT1,12.0,0.12292958001075475
cond_il6_1,pSTAT1,13.0,0.13831973098089168
cond_il6_1,pSTAT1,14.0,0.15269400671511846
cond_il6_1,pSTAT1,15.0,0.16581244802965278
cond_il6_1,pSTAT1,16.0,0.17748544973466082
cond_il6_1,pSTAT1,17.0,0.1875691391097053
cond_il6_1,pSTAT1,18.0,0.1959610695718274
cond_il6_1,pSTAT1,19.0,0.20259663899652927
cond_il6_1,pSTAT1,20.0,0.20744651291413538
cond_il6_1,pSTAT1,21.0,0.21051519341213631
cond_il6_1,pSTAT1,22.0,0.2118406735827094
cond_il6_1,pSTAT1,23.0,0.21149477458647814
cond_il6_1,pSTAT1,24.0,0.20958327482902045
cond_il6_1,pSTAT1,25.0,0.20624454157224842
cond_il6_1,pSTAT1,26.0,0.20164547258599366
cond_il6_1,pSTAT1,27.0,0.19597433219145174
cond_il6_1,pSTAT1,28.0,0.1894311769418775
cond_il6_1,pSTAT1,29.0,0.18221738915844538
cond_il6_1,pSTAT1,30.0,0.17452599778552055
cond_il6_1,pSTAT1,31.0,0.1665340440784245
cond_il6_1,pSTAT1,32.0,0.1583975745825151
cond_il6_1,pSTAT1,33.0,0.15024922377356317
cond_il6_1,pSTAT1,34.0,0.14219794367706226
cond_il6_1,pSTAT1,35.0,0.13433026911635573
cond_il6_1,pSTAT1,36.0,0.12671251726120764
cond_il6_1,pSTAT1,37.0,0.11939342948721225
cond_il6_1,pSTAT1,38.0,0.11240690353254473
cond_il6_1,pSTAT1,39.0,0.10577459465694147
cond_il6_1,pSTAT1,40.0,0.09950826570680672
cond_il6_1,pSTAT1,41.0,0.09361183618358523
cond_il6_1,pSTAT1,42.0,0.0880831241285665
cond_il6_1,pSTAT1,43.0,0.08291529917592436
cond_il6_1,pSTAT1,44.0,0.07809807688167056
cond_il6_1,pSTAT1,45.0,0.07361868843993494
cond_il6_1,pSTAT1,46.0,0.06946265953369549
cond_il6_1,pSTAT1,47.0,0.06561442941104308
cond_il6_1,pSTAT1,48.0,0.06205783774513781
cond_il6_1,pSTAT1,49.0,0.05877650297347687
cond_il6_1,pSTAT1,50.0,0.05575411248571203
cond_il6_1,pSTAT1,51.0,0.05297464096633973
cond_il6_1,pSTAT1,52.0,0.050422511498398596
cond_il6_1,pSTAT1,53.0,0.04808271053684022
cond_il6_1,pSTAT1,54.0,0.04594086635342331
cond_il6_1,pSTAT1,55.0,0.04398329861636342
cond_il6_1,pSTAT1,56.0,0.04219704539758555
cond_il6_1,pSTAT1,57.0,0.04056987269171057
cond_il6_1,pSTAT1,58.0,0.0390902705585806
cond_il6_1,pSTAT1,59.0,0.03774743920449834
cond_il6_1,pSTAT1,60.0,0.03653126766137058
cond_il6_1,pSTAT1,61.0,0.03543230719057251
cond_il6_1,pSTAT1,62.0,0.03444174110356891
cond_il6_1,pSTAT1,63.0,0.03355135233792805
cond_il6_1,pSTAT1,64.0,0.032753489840350994
cond_il6_1,pSTAT1,65.0,0.03204103457558819
cond_il6_1,pSTAT1,66.0,0.031407365791733664
cond_il6_1,pSTAT1,67.0,0.030846328024393507
cond_il6_1,pSTAT1,68.0,0.030352199178223294
cond_il6_1,pSTAT1,69.0,0.029919659960992932
cond_il6_1,pSTAT1,70.0,0.029543764863012193
cond_il6_1,pSTAT1,71.0,0.029219914741020113
cond_il6_1,pSTAT1,72.0,0.028943831125330697
cond_il6_1,pSTAT1,73.0,0.028711532245474264
