observableId	simulationConditionId	time	measurement	noiseParameters
obs_total_pS1	cond_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_1	10.0	0.045135570580917966	sigma_pSTAT1
obs_total_pS1	cond_il10_1	20.0	0.09674708779937902	sigma_pSTAT1
obs_total_pS1	cond_il10_1	30.0	0.11864377972681453	sigma_pSTAT1
obs_total_pS1	cond_il10_1	45.0	0.11292976460993268	sigma_pSTAT1
obs_total_pS1	cond_il10_1	60.0	0.09081569764329638	sigma_pSTAT1
obs_total_pS1	cond_il10_1	90.0	0.052589261201613294	sigma_pSTAT1
obs_total_pS3	cond_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_1	10.0	0.3415285740828377	sigma_pSTAT3
obs_total_pS3	cond_il10_1	20.0	0.6196252857116076	sigma_pSTAT3
obs_total_pS3	cond_il10_1	30.0	0.6917010875538581	sigma_pSTAT3
obs_total_pS3	cond_il10_1	45.0	0.6683578826546386	sigma_pSTAT3
obs_total_pS3	cond_il10_1	60.0	0.5978086683546978	sigma_pSTAT3
obs_total_pS3	cond_il10_1	90.0	0.4392054703507013	sigma_pSTAT3
obs_total_pS1	cond_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_10	10.0	0.26427360373591036	sigma_pSTAT1
obs_total_pS1	cond_il10_10	20.0	0.37176619353717255	sigma_pSTAT1
obs_total_pS1	cond_il10_10	30.0	0.3151111168740137	sigma_pSTAT1
obs_total_pS1	cond_il10_10	45.0	0.18092485173160308	sigma_pSTAT1
obs_total_pS1	cond_il10_10	60.0	0.09240218033960014	sigma_pSTAT1
obs_total_pS1	cond_il10_10	90.0	0.03263129882932817	sigma_pSTAT1
obs_total_pS3	cond_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_10	10.0	0.973246914244992	sigma_pSTAT3
obs_total_pS3	cond_il10_10	20.0	1.0018732845336065	sigma_pSTAT3
obs_total_pS3	cond_il10_10	30.0	0.9343861998506412	sigma_pSTAT3
obs_total_pS3	cond_il10_10	45.0	0.7732799795257143	sigma_pSTAT3
obs_total_pS3	cond_il10_10	60.0	0.5828320952326443	sigma_pSTAT3
obs_total_pS3	cond_il10_10	90.0	0.32105950758300567	sigma_pSTAT3
obs_total_pS1	cond_il6_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1	10.0	0.11452760955959912	sigma_pSTAT1
obs_total_pS1	cond_il6_1	20.0	0.23656893796644637	sigma_pSTAT1
